Player,Squad,League,Nation,Primary_Pos,Age_Years,MP,Min,Gls,Ast,G+A,Gls_p90,Ast_p90,GA_p90,Sh_p90,SoT_p90,Int_p90,Crs_p90,Fld_p90,G_Sh,CrdY,CrdR,Attacker_Index,Creator_Index,Defensive_Index,Overall_Index,Archetype_V2,Hidden_Gem,WC_Watchlist_V2
Thiago Almada,Atlético Madrid,La Liga,ARG,MF,25.0,25,1221,3,1,4,0.2205882352941176,0.0735294117647058,0.2941176470588235,1.5441176470588236,0.7352941176470589,0.0,2.9411764705882355,1.1764705882352942,0.14,2.0,1.0,72.7,46.0,31.8,48.6,Winger,False,False
Lennart Karl,Bayern Munich,Bundesliga,GER,MF,18.0,25,1221,5,4,9,0.3676470588235294,0.2941176470588235,0.6617647058823529,3.088235294117647,1.5441176470588236,0.0735294117647058,2.1323529411764706,0.8088235294117647,0.12,1.0,0.0,86.7,70.1,72.7,68.7,Box-to-Box Midfielder,False,False
Philipp Lienhart,Freiburg,Bundesliga,AUT,DF,29.0,19,1212,1,0,1,0.074074074074074,0.0,0.074074074074074,0.5925925925925926,0.1481481481481481,0.074074074074074,0.9629629629629628,0.5925925925925926,0.13,4.0,1.0,59.4,45.7,42.1,40.6,Defensive Anchor,False,False
Sead Kolašinac,Atalanta,Serie A,BIH,DF,32.0,18,1209,0,0,0,0.0,0.0,0.0,0.2238805970149253,0.0,0.0746268656716417,0.2238805970149253,0.7462686567164178,0.0,3.0,0.0,15.1,29.3,49.7,38.2,Defensive Anchor,False,False
João Neves,Paris Saint-Germain,Ligue 1,POR,MF,21.0,19,1189,5,1,6,0.3787878787878788,0.0757575757575757,0.4545454545454546,2.0454545454545454,0.4545454545454546,0.0,0.303030303030303,0.9848484848484848,0.19,0.0,0.0,78.1,38.1,38.2,74.0,Deep-Lying Creator,True,True
Alidu Seidu,Rennes,Ligue 1,GHA,DF,25.0,21,1186,0,1,1,0.0,0.0757575757575757,0.0757575757575757,0.3787878787878788,0.0757575757575757,0.0757575757575757,0.8333333333333334,2.3484848484848486,0.0,1.0,0.0,22.5,65.6,66.4,53.7,Defensive Anchor,False,False
José María Giménez,Atlético Madrid,La Liga,URU,DF,31.0,16,1178,0,1,1,0.0,0.0763358778625954,0.0763358778625954,0.9923664122137404,0.2290076335877862,0.0763358778625954,0.0,0.7633587786259542,0.0,3.0,0.0,47.6,36.1,52.1,44.8,Defensive Anchor,False,False
Eray Cömert,Valencia,La Liga,SUI,DF,28.0,15,1178,2,0,2,0.1526717557251908,0.0,0.1526717557251908,0.8396946564885497,0.2290076335877862,0.1526717557251908,0.0763358778625954,0.9923664122137404,0.18,3.0,1.0,86.7,20.7,82.5,69.1,Ball-Winning Defender,False,False
Dan Ndoye,Nottingham Forest,Premier League,SUI,MF,25.0,24,1173,1,1,2,0.0769230769230769,0.0769230769230769,0.1538461538461538,1.1538461538461535,0.3076923076923077,0.0769230769230769,3.1538461538461537,1.6923076923076923,0.07,1.0,0.0,29.8,44.4,75.2,38.1,Winger,False,False
Marc Pubill,Atlético Madrid,La Liga,ESP,DF,22.0,16,1156,0,1,1,0.0,0.078125,0.078125,0.859375,0.3125,0.078125,0.625,1.09375,0.09,2.0,0.0,44.4,63.9,60.2,52.2,Defensive Anchor,False,False
Endrick,Lyon,Ligue 1,BRA,FW,19.0,15,1145,5,7,12,0.3937007874015748,0.5511811023622047,0.9448818897637796,3.937007874015748,2.047244094488189,0.0,4.094488188976378,1.6535433070866143,0.08,4.0,1.0,52.1,89.3,46.1,51.4,Winger,True,True
Bamba Dieng,Lorient,Ligue 1,SEN,FW,26.0,21,1132,10,1,11,0.7936507936507937,0.0793650793650793,0.873015873015873,3.571428571428572,1.9047619047619049,0.0,0.1587301587301587,1.031746031746032,0.2,2.0,0.0,82.9,38.9,32.8,66.1,Pure Goal Scorer,False,False
Noni Madueke,Arsenal,Premier League,ENG,FW,24.0,25,1129,2,1,3,0.16,0.08,0.24,2.0,0.72,0.0,6.4,1.2,0.12,0.0,0.0,15.6,37.8,35.0,17.8,Winger,False,False
Sofyan Amrabat,Real Betis,La Liga,MAR,MF,29.0,15,1126,0,0,0,0.0,0.0,0.0,0.64,0.08,0.08,0.48,1.52,0.0,4.0,0.0,4.9,16.4,61.8,74.0,Deep-Lying Creator,False,False
Jhon Arias,Wolves,Premier League,COL,FW,28.0,23,1124,1,0,1,0.08,0.0,0.08,1.28,0.24,0.0,2.4,0.72,0.06,1.0,0.0,4.2,19.4,24.4,6.7,Target Forward,False,False
Wilson Isidor,Sunderland,Premier League,HAI,FW,25.0,30,1121,5,0,5,0.4,0.0,0.4,3.44,1.36,0.0,0.0,0.56,0.14,1.0,0.0,46.1,9.2,23.3,35.3,Target Forward,False,False
Emmanuel Agbadou,Wolves,Premier League,CIV,DF,28.0,14,1101,0,0,0,0.0,0.0,0.0,0.819672131147541,0.2459016393442623,0.0819672131147541,1.0655737704918034,0.4098360655737705,0.0,1.0,1.0,41.7,46.0,50.1,43.3,Defensive Anchor,False,False
Ali Abdi,Nice,Ligue 1,TUN,MF,32.0,21,1097,3,0,3,0.2459016393442623,0.0,0.2459016393442623,1.3114754098360657,0.3278688524590164,0.0819672131147541,2.7049180327868854,1.475409836065574,0.19,4.0,1.0,67.3,37.8,62.4,45.2,Winger,False,False
Can Uzun,Eintracht Frankfurt,Bundesliga,TUR,MF,20.0,20,1097,8,4,12,0.6557377049180328,0.3278688524590164,0.9836065573770492,3.3606557377049184,1.557377049180328,0.0,1.9672131147540983,2.1311475409836067,0.17,3.0,0.0,95.9,81.6,26.6,72.4,Box-to-Box Midfielder,False,False
Quinten Timber,Marseille,Ligue 1,NED,MF,24.0,14,1096,0,0,0,0.0,0.0,0.0,0.819672131147541,0.1639344262295082,0.0,0.5737704918032788,1.639344262295082,0.0,4.0,0.0,7.2,18.1,22.0,13.1,Deep-Lying Creator,False,False
Hannibal Mejbri,Burnley,Premier League,TUN,MF,23.0,25,1095,1,4,5,0.0819672131147541,0.3278688524590164,0.4098360655737705,1.557377049180328,0.4098360655737705,0.0,2.459016393442623,3.7704918032786887,0.05,10.0,0.0,30.4,79.1,9.3,49.2,Advanced Playmaker,False,False
Andrew Robertson,Liverpool,Premier League,SCO,DF,32.0,23,1094,1,0,1,0.0819672131147541,0.0,0.0819672131147541,0.819672131147541,0.2459016393442623,0.0,4.344262295081967,0.0819672131147541,0.1,0.0,0.0,71.0,58.7,26.0,32.2,Overlapping Fullback,False,False
Ao Tanaka,Leeds United,Premier League,JPN,MF,27.0,25,1090,2,0,2,0.1652892561983471,0.0,0.1652892561983471,1.4049586776859504,0.4132231404958678,0.1652892561983471,3.2231404958677685,0.8264462809917356,0.12,1.0,0.0,54.2,30.0,94.4,40.1,Ball-Winning Midfielder,False,False
Brahim Díaz,Real Madrid,La Liga,MAR,MF,26.0,27,1088,0,5,5,0.0,0.4132231404958678,0.4132231404958678,1.2396694214876034,0.578512396694215,0.0,1.6528925619834711,3.057851239669421,0.07,2.0,0.0,28.7,76.3,31.8,49.3,Advanced Playmaker,False,False
Samir Chergui,Paris FC,Ligue 1,ALG,DF,27.0,14,1064,1,0,1,0.0847457627118644,0.0,0.0847457627118644,1.1016949152542372,0.3389830508474576,0.0847457627118644,0.5084745762711864,0.3389830508474576,0.08,1.0,0.0,79.6,37.3,48.8,46.6,Defensive Anchor,False,False
Lisandro Martínez,Manchester Utd,Premier League,ARG,DF,28.0,16,1053,0,0,0,0.0,0.0,0.0,0.4273504273504274,0.0,0.0854700854700854,0.1709401709401709,0.1709401709401709,0.0,0.0,1.0,24.1,26.8,47.7,76.0,Defensive Anchor,False,True
Kevin De Bruyne,Napoli,Serie A,BEL,MF,34.0,16,1052,5,1,6,0.4273504273504274,0.0854700854700854,0.5128205128205129,2.307692307692308,0.9401709401709404,0.0,4.957264957264957,0.5128205128205129,0.07,1.0,0.0,75.8,56.3,36.0,83.0,Advanced Playmaker,False,True
Diego Llorente,Real Betis,La Liga,ESP,DF,32.0,16,1049,1,0,1,0.0854700854700854,0.0,0.0854700854700854,0.3418803418803419,0.2564102564102564,0.1709401709401709,0.0854700854700854,1.1111111111111112,0.25,5.0,0.0,50.6,21.4,78.4,61.0,Ball-Winning Defender,False,False
Pervis Estupiñán,Milan,Serie A,ECU,MF,28.0,19,1034,1,1,2,0.0869565217391304,0.0869565217391304,0.1739130434782608,0.782608695652174,0.0869565217391304,0.0869565217391304,1.7391304347826086,0.6956521739130435,0.11,5.0,1.0,31.2,32.4,61.2,31.0,Deep-Lying Creator,False,False
Axel Tuanzebe,Burnley,Premier League,COD,DF,28.0,12,1021,1,0,1,0.0884955752212389,0.0,0.0884955752212389,0.1769911504424778,0.0884955752212389,0.0884955752212389,0.0884955752212389,0.1769911504424778,0.5,1.0,0.0,45.7,21.7,47.6,39.7,Defensive Anchor,False,False
Krépin Diatta,Monaco,Ligue 1,SEN,MF,27.0,18,1013,0,1,1,0.0,0.0884955752212389,0.0884955752212389,0.6194690265486725,0.0884955752212389,0.0884955752212389,3.451327433628318,0.8849557522123893,0.0,2.0,0.0,5.2,38.3,74.9,27.0,Winger,False,False
Fabián Ruiz Peña,Paris Saint-Germain,Ligue 1,ESP,MF,30.0,18,1011,1,3,4,0.0892857142857142,0.2678571428571428,0.3571428571428571,1.6964285714285716,0.3571428571428571,0.0892857142857142,1.875,0.2678571428571428,0.05,2.0,0.0,30.2,57.2,75.5,44.0,Deep-Lying Creator,False,False
Exequiel Palacios,Leverkusen,Bundesliga,ARG,MF,27.0,17,1009,0,1,1,0.0,0.0892857142857142,0.0892857142857142,0.8928571428571429,0.1785714285714285,0.0892857142857142,0.1785714285714285,1.6071428571428572,0.0,3.0,0.0,7.8,25.9,70.3,21.3,Deep-Lying Creator,False,False
Mikel Merino,Arsenal,Premier League,ESP,MF,29.0,21,1007,4,3,7,0.3571428571428571,0.2678571428571428,0.625,1.9642857142857144,0.7142857142857143,0.0,0.3571428571428571,1.7857142857142858,0.18,1.0,0.0,82.9,65.2,36.0,60.7,Box-to-Box Midfielder,False,False
Jorrel Hato,Chelsea,Premier League,NED,DF,20.0,20,1007,0,0,0,0.0,0.0,0.0,0.3571428571428571,0.0,0.0892857142857142,0.625,0.1785714285714285,0.0,7.0,0.0,21.2,40.4,30.1,26.4,Defensive Anchor,False,False
Nicolas Jackson,Bayern Munich,Bundesliga,SEN,FW,24.0,22,999,7,1,8,0.6306306306306306,0.0900900900900901,0.7207207207207208,3.4234234234234235,1.891891891891892,0.0,0.6306306306306306,0.9009009009009008,0.21,2.0,1.0,73.4,44.4,30.0,59.3,Pure Goal Scorer,False,False
Ronald Araújo,Barcelona,La Liga,URU,DF,27.0,22,998,3,0,3,0.2702702702702703,0.0,0.2702702702702703,1.0810810810810811,0.4504504504504504,0.0900900900900901,0.5405405405405406,0.2702702702702703,0.25,2.0,0.0,40.0,38.8,48.3,79.0,Defensive Anchor,False,True
Ryan Christie,Bournemouth,Premier League,SCO,MF,31.0,26,993,2,0,2,0.1818181818181818,0.0,0.1818181818181818,2.272727272727273,0.7272727272727273,0.0909090909090909,1.5454545454545454,2.0,0.08,3.0,1.0,58.0,31.8,73.0,40.0,Deep-Lying Creator,False,False
Gabriel Martinelli,Arsenal,Premier League,BRA,FW,24.0,28,990,1,3,4,0.0909090909090909,0.2727272727272727,0.3636363636363636,2.636363636363636,1.181818181818182,0.0,3.363636363636364,1.2727272727272727,0.03,3.0,0.0,17.6,63.8,38.3,22.7,Winger,False,False
Michael Amir Murillo,Marseille,Ligue 1,PAN,DF,30.0,16,989,2,1,3,0.1818181818181818,0.0909090909090909,0.2727272727272727,0.8181818181818182,0.1818181818181818,0.0,2.5454545454545454,1.4545454545454546,0.22,4.0,0.0,86.2,80.1,38.5,44.1,Overlapping Fullback,False,False
Odilon Kossounou,Atalanta,Serie A,CIV,DF,25.0,19,988,1,0,1,0.0909090909090909,0.0,0.0909090909090909,0.4545454545454545,0.0909090909090909,0.0909090909090909,0.1818181818181818,0.2727272727272727,0.2,1.0,0.0,58.1,27.9,50.6,43.8,Defensive Anchor,False,False
Ezequiél Fernández,Leverkusen,Bundesliga,ARG,MF,23.0,20,984,0,1,1,0.0,0.091743119266055,0.091743119266055,1.0091743119266054,0.091743119266055,0.091743119266055,0.3669724770642201,2.201834862385321,0.0,4.0,1.0,5.5,32.8,69.1,23.8,Deep-Lying Creator,False,False
Marquinhos,Paris Saint-Germain,Ligue 1,BRA,DF,31.0,13,962,0,0,0,0.0,0.0,0.0,0.2803738317757009,0.0,0.0,0.2803738317757009,0.1869158878504673,0.0,0.0,0.0,16.9,31.9,27.4,81.0,Defensive Anchor,False,True
Ousmane Dembélé,Paris Saint-Germain,Ligue 1,FRA,FW,28.0,20,962,10,6,16,0.9345794392523366,0.5607476635514019,1.4953271028037385,4.205607476635515,1.6822429906542058,0.0,4.579439252336449,0.3738317757009346,0.18,0.0,0.0,81.6,96.5,22.2,71.5,Winger,False,False
Ibrahim Mbaye,Paris Saint-Germain,Ligue 1,SEN,FW,18.0,22,958,2,2,4,0.1886792452830188,0.1886792452830188,0.3773584905660377,2.2641509433962264,0.9433962264150944,0.0,1.509433962264151,1.2264150943396226,0.13,0.0,0.0,22.9,49.9,36.1,24.4,Target Forward,False,False
Rayan,Bournemouth,Premier League,BRA,MF,19.0,13,956,5,2,7,0.4716981132075472,0.1886792452830188,0.6603773584905661,2.6415094339622645,0.7547169811320755,0.0,2.2641509433962264,0.5660377358490566,0.18,1.0,0.0,87.9,61.9,36.0,60.5,Deep-Lying Creator,False,False
Lucas Bergvall,Tottenham Hotspur,Premier League,SWE,MF,20.0,22,955,1,3,4,0.0943396226415094,0.2830188679245283,0.3773584905660377,1.1320754716981132,0.4716981132075472,0.0,1.7924528301886793,0.6603773584905661,0.08,2.0,0.0,40.7,61.1,31.8,45.1,Deep-Lying Creator,True,True
Chancel Mbemba,Lille,Ligue 1,COD,DF,31.0,13,954,0,0,0,0.0,0.0,0.0,0.6603773584905661,0.2830188679245283,0.0943396226415094,0.0,0.5660377358490566,0.0,3.0,0.0,33.7,13.2,56.1,42.8,Defensive Anchor,False,False
Antonio Sanabria,Cremonese,Serie A,PAR,FW,30.0,25,945,1,1,2,0.0952380952380952,0.0952380952380952,0.1904761904761904,1.1428571428571428,0.3809523809523809,0.0,0.1904761904761904,1.4285714285714286,0.08,2.0,0.0,6.9,22.5,42.5,9.7,Target Forward,False,False
Hiroki Ito,Bayern Munich,Bundesliga,JPN,DF,26.0,16,920,1,2,3,0.0980392156862745,0.196078431372549,0.2941176470588235,0.9803921568627452,0.2941176470588235,0.0980392156862745,0.6862745098039216,0.2941176470588235,0.1,0.0,0.0,82.8,76.4,58.8,56.5,Defensive Anchor,False,False
Justin Kluivert,Bournemouth,Premier League,NED,MF,27.0,18,919,2,0,2,0.196078431372549,0.0,0.196078431372549,1.6666666666666667,0.3921568627450981,0.0,3.9215686274509807,0.9803921568627452,0.12,5.0,0.0,56.6,35.8,18.4,36.4,Winger,False,False
Noussair Mazraoui,Manchester Utd,Premier League,MAR,DF,28.0,19,912,0,0,0,0.0,0.0,0.0,0.495049504950495,0.0,0.099009900990099,1.2871287128712872,1.3861386138613865,0.0,3.0,0.0,26.7,46.7,72.6,55.6,Defensive Anchor,False,False
Deiver Machado,Nantes,Ligue 1,COL,DF,32.0,14,907,0,1,1,0.0,0.099009900990099,0.099009900990099,0.6930693069306931,0.099009900990099,0.0,2.1782178217821784,1.98019801980198,0.0,2.0,0.0,34.6,77.5,46.5,42.1,Overlapping Fullback,False,False
Kamaldeen Sulemana,Atalanta,Serie A,GHA,MF,24.0,23,904,2,1,3,0.2,0.1,0.3,2.5,1.0,0.0,2.2,1.4,0.08,4.0,0.0,65.6,49.7,22.0,46.2,Winger,False,False
Assane Diao,Como,Serie A,SEN,MF,20.0,15,903,2,1,3,0.2,0.1,0.3,3.1,1.0,0.0,2.7,3.9,0.06,2.0,0.0,62.0,58.8,31.8,50.4,Winger,False,False
Lionel Messi,Inter Miami,MLS,ARG,FW,38.0,0,2268,29,20,49,1.15,0.79,1.95,3.8,2.1,0.05,1.2,2.1,0.3,2.0,0.0,94.3,91.9,82.9,84.0,Complete Forward,False,True
Cristiano Ronaldo,Al Nassr,Saudi Pro League,POR,FW,41.0,0,2520,35,11,46,1.25,0.39,1.64,5.2,2.8,0.05,0.8,1.5,0.24,3.0,0.0,98.7,88.2,71.0,80.0,Pure Goal Scorer,False,True
Neymar,Santos,Brasileirao,BRA,FW,34.0,0,1350,9,12,21,0.6,0.8,1.4,3.5,1.8,0.05,2.8,3.5,0.17,4.0,0.0,65.9,95.3,88.8,76.0,Winger,False,True
Jamal Musiala,Bayern Munich,Bundesliga,GER,MF,21.0,0,2430,14,12,26,0.52,0.44,0.96,2.8,1.3,0.12,1.8,2.0,0.18,3.0,0.0,94.4,82.0,82.6,84.8,Winger,True,True
Kai Havertz,Arsenal,Premier League,GER,FW,26.0,0,2520,18,8,26,0.64,0.29,0.93,2.9,1.4,0.15,0.8,2.1,0.22,4.0,0.0,67.2,76.5,94.2,69.1,Complete Forward,False,False
Leroy Sané,Galatasaray,Süper Lig,GER,MF,29.0,0,1440,7,8,15,0.44,0.5,0.94,2.8,1.3,0.1,2.9,2.0,0.18,2.0,0.0,93.3,87.8,83.8,76.0,Winger,False,True
Son Heung-min,Los Angeles FC,MLS,KOR,FW,33.0,0,2340,18,10,28,0.69,0.38,1.08,3.2,1.6,0.08,2.1,1.8,0.22,2.0,0.0,71.0,87.5,86.5,78.0,Winger,False,True
Sadio Mané,Al-Nassr,Saudi Pro League,SEN,FW,32.0,0,2160,15,9,24,0.63,0.38,1.0,3.2,1.6,0.08,1.8,2.2,0.19,3.0,0.0,64.9,84.0,93.8,70.0,Winger,False,True
Omar Marmoush,Manchester City,Premier League,EGY,FW,26.0,0,2160,18,9,27,0.75,0.38,1.13,3.9,1.9,0.08,1.2,2.0,0.19,3.0,0.0,79.0,86.0,89.9,77.7,Complete Forward,False,False
Alexander Isak,Newcastle United,Premier League,SWE,FW,25.0,0,2430,24,6,30,0.89,0.22,1.11,3.8,1.9,0.06,0.5,1.7,0.23,2.0,0.0,88.2,71.8,80.0,83.8,Pure Goal Scorer,False,True
Santiago Giménez,AC Milan,Serie A,MEX,FW,23.0,0,1980,16,4,20,0.73,0.18,0.91,3.8,1.9,0.06,0.4,1.8,0.19,3.0,0.0,77.9,58.1,81.9,71.5,Pure Goal Scorer,False,False
Edson Álvarez,Fenerbahçe,Süper Lig,MEX,MF,27.0,0,2430,4,5,9,0.15,0.19,0.33,1.2,0.5,0.25,0.8,1.0,0.13,5.0,0.0,56.6,49.7,79.7,42.2,Ball-Winning Midfielder,False,False
Alphonso Davies,Bayern Munich,Bundesliga,CAN,DF,24.0,0,2160,2,6,8,0.08,0.25,0.33,0.8,0.3,0.12,4.2,2.1,0.11,3.0,0.0,68.1,95.3,81.1,77.7,Overlapping Fullback,True,True
James Rodríguez,Minnesota United,MLS,COL,MF,33.0,0,1800,5,9,14,0.25,0.45,0.7,2.1,0.9,0.1,2.5,1.2,0.12,4.0,0.0,76.2,78.7,74.1,52.3,Box-to-Box Midfielder,False,False
Ismael Saibari,PSV Eindhoven,Eredivisie,MAR,MF,23.0,0,2160,9,11,20,0.38,0.46,0.83,2.5,1.1,0.18,1.8,1.5,0.15,3.0,0.0,88.5,78.4,86.5,65.4,Box-to-Box Midfielder,False,False
Ayoub El Kaabi,Olympiacos,Super League Greece,MAR,FW,32.0,0,2160,22,6,28,0.92,0.25,1.17,4.2,2.1,0.05,0.4,1.4,0.22,2.0,0.0,91.8,71.9,68.8,54.9,Complete Forward,False,False
Yassine Bounou,Al Hilal,Saudi Pro League,MAR,GK,35.0,0,2700,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,49.0,80.0,Goalkeeper,False,False
Darwin Núñez,Al Hilal,Saudi Pro League,URU,FW,25.0,0,1800,14,6,20,0.7,0.3,1.0,3.5,1.7,0.08,0.6,1.9,0.22,3.0,0.0,76.2,76.9,88.5,78.0,Complete Forward,False,True
Luis Suárez,Estudiantes,Liga Profesional,URU,FW,39.0,0,1440,11,5,16,0.69,0.31,1.0,3.8,1.9,0.06,0.8,2.2,0.18,4.0,0.0,74.3,79.6,89.2,50.0,Complete Forward,False,False
