Player,Squad,League,Nation,Primary_Pos,Age_Years,MP,Min,Gls,Ast,G+A,Gls_p90,Ast_p90,GA_p90,Sh_p90,SoT_p90,Int_p90,Crs_p90,Fld_p90,G_Sh,CrdY,CrdR,Attacker_Index,Creator_Index,Defensive_Index,Overall_Index,Archetype_V2,Hidden_Gem,WC_Watchlist_V2
Leandro Trossard,Arsenal,Premier League,BEL,FW,31.0,30,1911,6,6,12,0.2830188679245283,0.2830188679245283,0.5660377358490566,2.5,0.7075471698113208,0.0,2.7358490566037736,1.839622641509434,0.11,2.0,0.0,20.0,70.0,51.1,27.5,Winger,False,False
Leonardo Balerdi,Marseille,Ligue 1,ARG,DF,27.0,25,1911,0,1,1,0.0,0.0471698113207547,0.0471698113207547,0.9433962264150944,0.2358490566037736,0.0943396226415094,0.0943396226415094,0.9905660377358492,0.0,5.0,0.0,46.7,39.1,54.7,49.2,Defensive Anchor,False,False
Thomas Meunier,Lille,Ligue 1,BEL,DF,34.0,25,1909,2,2,4,0.0943396226415094,0.0943396226415094,0.1886792452830188,0.8962264150943396,0.2358490566037736,0.0471698113207547,2.405660377358491,0.1415094339622641,0.11,3.0,0.0,79.9,79.3,24.2,36.1,Overlapping Fullback,False,False
Dani Olmo,Barcelona,La Liga,ESP,MF,28.0,30,1900,7,8,15,0.3317535545023696,0.3791469194312796,0.7109004739336492,3.3175355450236963,0.995260663507109,0.0473933649289099,1.3270142180094786,1.990521327014218,0.1,1.0,0.0,77.9,76.8,55.0,80.0,Winger,False,True
Marcus Thuram,Inter,Serie A,FRA,FW,28.0,29,1900,13,6,19,0.6161137440758293,0.2843601895734597,0.9004739336492891,3.5071090047393363,1.3744075829383886,0.0,0.995260663507109,1.943127962085308,0.18,2.0,0.0,63.2,75.6,52.8,80.0,Complete Forward,False,True
Patrik Schick,Leverkusen,Bundesliga,CZE,FW,30.0,27,1898,16,3,19,0.7582938388625592,0.1421800947867298,0.9004739336492891,3.4123222748815163,1.6113744075829384,0.0,0.0,0.947867298578199,0.17,2.0,0.0,70.1,45.2,30.6,60.9,Pure Goal Scorer,False,False
Julián Álvarez,Atlético Madrid,La Liga,ARG,FW,26.0,29,1895,8,4,12,0.3791469194312796,0.1895734597156398,0.5687203791469194,2.559241706161137,1.2322274881516586,0.0,4.075829383886256,0.8530805687203791,0.11,2.0,0.0,33.2,61.9,28.9,82.0,Winger,False,True
José Sá,Wolves,Premier League,POR,GK,33.0,21,1890,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,2.0,0.0,0.0,0.0,21.5,12.2,Goalkeeper,False,False
Guela Doué,Strasbourg,Ligue 1,CIV,DF,23.0,22,1881,2,6,8,0.0956937799043062,0.2870813397129186,0.3827751196172249,0.5741626794258373,0.2392344497607655,0.0956937799043062,2.488038277511962,1.1483253588516746,0.17,3.0,0.0,65.5,92.0,67.5,65.8,Overlapping Fullback,False,False
Isak Hien,Atalanta,Serie A,SWE,DF,27.0,27,1880,1,0,1,0.0478468899521531,0.0,0.0478468899521531,0.430622009569378,0.1435406698564593,0.0956937799043062,0.0,1.0047846889952154,0.11,5.0,0.0,48.0,13.2,56.3,48.0,Defensive Anchor,False,False
